No,GH Project,Link SO,Snippet ID,Dataset Status,Before Dataset Path,After Dataset Path,Stack Overflow Java File Path,Stack Overflow Method Name,Stack Overflow Start Line,Stack Overflow End Line,Final Manual Validation,Recommendation Type
787,1024-lab,https://stackoverflow.com/questions/58370217,so_58370217_block_2,ELIGIBLE,dataset/before/so_58370217_block_2.java,dataset/after/so_58370217_block_2.java,58370217/58370217_2_recent.java,method,1,45,Agress Yes,Improving Code
497,abfab3d,https://stackoverflow.com/questions/21178275,so_21178275_block_2,ELIGIBLE,dataset/before/so_21178275_block_2.java,dataset/after/so_21178275_block_2.java,21178275/21178275_2_recent.java,method,1,55,Agress Yes,Improving Code
349,actframework,https://stackoverflow.com/questions/4429257,so_4429257_block_2,ELIGIBLE,dataset/before/so_4429257_block_2.java,dataset/after/so_4429257_block_2.java,4429257/4429257_2_9347476.java,newBundle,2,32,Agress Yes,Improving Code
2,actiontech,https://stackoverflow.com/questions/60266789,so_60266789_block_2,ELIGIBLE,dataset/before/so_60266789_block_2.java,dataset/after/so_60266789_block_2.java,60266789/60266789_2_recent.java,method,1,13,Agress Yes,Bug Fixing
614,addstarmc,https://stackoverflow.com/questions/4429257,so_4429257_block_2,ELIGIBLE,dataset/before/so_4429257_block_2.java,dataset/after/so_4429257_block_2.java,4429257/4429257_2_9347476.java,newBundle,2,32,Agree No,""
555,adoptopenjdk,https://stackoverflow.com/questions/54298032,so_54298032_block_2,ELIGIBLE,dataset/before/so_54298032_block_2.java,dataset/after/so_54298032_block_2.java,54298032/54298032_2_recent.java,copy,58,72,Agree No,""
273,agreementmaker,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
195,aicis,https://stackoverflow.com/questions/3775893,so_3775893_block_6,ELIGIBLE,dataset/before/so_3775893_block_6.java,dataset/after/so_3775893_block_6.java,3775893/3775893_6_recent.java,method,1,25,Agress Yes,Improving Code
196,aicis,https://stackoverflow.com/questions/3775893,so_3775893_block_6,ELIGIBLE,dataset/before/so_3775893_block_6.java,dataset/after/so_3775893_block_6.java,3775893/3775893_6_recent.java,method,1,25,Agress Yes,Improving Code
12,aionnetwork,https://stackoverflow.com/questions/60266789,so_60266789_block_2,ELIGIBLE,dataset/before/so_60266789_block_2.java,dataset/after/so_60266789_block_2.java,60266789/60266789_2_recent.java,method,1,13,Agress Yes,Bug fixing
13,aionnetwork,https://stackoverflow.com/questions/46830988,so_46830988_block_4,ELIGIBLE,dataset/before/so_46830988_block_4.java,dataset/after/so_46830988_block_4.java,46830988/46830988_4_158689916.java,method,1,19,Agree No,""
14,aionnetwork,https://stackoverflow.com/questions/60266789,so_60266789_block_2,ELIGIBLE,dataset/before/so_60266789_block_2.java,dataset/after/so_60266789_block_2.java,60266789/60266789_2_recent.java,method,1,13,Agress Yes,Bug fixing
650,airlift,https://stackoverflow.com/questions/30316055,so_30316055_block_2,ELIGIBLE,dataset/before/so_30316055_block_2.java,dataset/after/so_30316055_block_2.java,30316055/30316055_2_recent.java,method,1,42,Agree No,""
217,alchitry,https://stackoverflow.com/questions/745987,so_745987_block_2,ELIGIBLE,dataset/before/so_745987_block_2.java,dataset/after/so_745987_block_2.java,745987/745987_2_recent.java,method,1,148,Agree No,""
429,algorithm004-01,https://stackoverflow.com/questions/62802127,so_62802127_block_2,ELIGIBLE,dataset/before/so_62802127_block_2.java,dataset/after/so_62802127_block_2.java,62802127/62802127_2_recent.java,method,1,39,Agree No,""
434,alibaba,https://stackoverflow.com/questions/58370217,so_58370217_block_2,ELIGIBLE,dataset/before/so_58370217_block_2.java,dataset/after/so_58370217_block_2.java,58370217/58370217_2_recent.java,method,1,45,Agress Yes,Improving Code
435,alibaba,https://stackoverflow.com/questions/35360983,so_35360983_block_2,ELIGIBLE,dataset/before/so_35360983_block_2.java,dataset/after/so_35360983_block_2.java,35360983/35360983_2_recent.java,Example,18,45,Agree No,""
436,alibaba,https://stackoverflow.com/questions/35360983,so_35360983_block_2,ELIGIBLE,dataset/before/so_35360983_block_2.java,dataset/after/so_35360983_block_2.java,35360983/35360983_2_recent.java,Example,18,45,Agree No,""
437,alibaba,https://stackoverflow.com/questions/35360983,so_35360983_block_2,ELIGIBLE,dataset/before/so_35360983_block_2.java,dataset/after/so_35360983_block_2.java,35360983/35360983_2_recent.java,Example,18,45,Agree No,""
438,alibaba,https://stackoverflow.com/questions/3870210,so_3870210_block_4,ELIGIBLE,dataset/before/so_3870210_block_4.java,dataset/after/so_3870210_block_4.java,3870210/3870210_4_recent.java,method,1,29,Agress Yes,Improving Code
439,alibaba,https://stackoverflow.com/questions/10774468,so_10774468_block_2,ELIGIBLE,dataset/before/so_10774468_block_2.java,dataset/after/so_10774468_block_2.java,10774468/10774468_2_recent.java,method,1,95,Agree No,""
440,alibaba,https://stackoverflow.com/questions/13462440,so_13462440_block_6,ELIGIBLE,dataset/before/so_13462440_block_6.java,dataset/after/so_13462440_block_6.java,13462440/13462440_6_32050882.java,init,30,44,Agress Yes,Improving Code
441,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
442,alibaba,https://stackoverflow.com/questions/29866762,so_29866762_block_2,ELIGIBLE,dataset/before/so_29866762_block_2.java,dataset/after/so_29866762_block_2.java,29866762/29866762_2_89013107.java,method,1,40,Agree No,""
443,alibaba,https://stackoverflow.com/questions/29866762,so_29866762_block_2,ELIGIBLE,dataset/before/so_29866762_block_2.java,dataset/after/so_29866762_block_2.java,29866762/29866762_2_89013107.java,method,1,40,Agree No,""
444,alibaba,https://stackoverflow.com/questions/46830988,so_46830988_block_4,ELIGIBLE,dataset/before/so_46830988_block_4.java,dataset/after/so_46830988_block_4.java,46830988/46830988_4_158689916.java,method,1,19,Agree No,""
445,alibaba,https://stackoverflow.com/questions/16799135,so_16799135_block_10,ELIGIBLE,dataset/before/so_16799135_block_10.java,dataset/after/so_16799135_block_10.java,16799135/16799135_10_41317480.java,method,1,23,Agree No,""
446,alibaba,https://stackoverflow.com/questions/29330741,so_29330741_block_6,ELIGIBLE,dataset/before/so_29330741_block_6.java,dataset/after/so_29330741_block_6.java,29330741/29330741_6_86929181.java,method,1,13,Agress Yes,Improving Code
447,alibaba,https://stackoverflow.com/questions/29330741,so_29330741_block_6,ELIGIBLE,dataset/before/so_29330741_block_6.java,dataset/after/so_29330741_block_6.java,29330741/29330741_6_86929181.java,method,1,13,Agree No,""
448,alibaba,https://stackoverflow.com/questions/45774144,so_45774144_block_4,ELIGIBLE,dataset/before/so_45774144_block_4.java,dataset/after/so_45774144_block_4.java,45774144/45774144_4_recent.java,method,1,21,Agree No,""
449,alibaba,https://stackoverflow.com/questions/54119640,so_54119640_block_4,ELIGIBLE,dataset/before/so_54119640_block_4.java,dataset/after/so_54119640_block_4.java,54119640/54119640_4_189259651.java,mouseClicked,10,26,Agree No,""
450,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
451,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
452,alibaba,https://stackoverflow.com/questions/64938483,so_64938483_block_2,ELIGIBLE,dataset/before/so_64938483_block_2.java,dataset/after/so_64938483_block_2.java,64938483/64938483_2_recent.java,method,1,68,Agress Yes,Improving Code
453,alibaba,https://stackoverflow.com/questions/6702420,so_6702420_block_2,ELIGIBLE,dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,6702420/6702420_2_89518975.java,main,9,18,Agree No,""
454,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
455,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
456,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
457,alibaba,https://stackoverflow.com/questions/58993471,so_58993471_block_2,ELIGIBLE,dataset/before/so_58993471_block_2.java,dataset/after/so_58993471_block_2.java,58993471/58993471_2_recent.java,method,1,363,Agree No,""
